id,specification,Task,hidden_passed,hidden_failed,predicted_raw,phase,Q2,Q4,llm_familiarity,python_skill,predicted_categ,predicted_midpoint_pct,total_hidden_tests,actual_pct,actual_categ,overconfidence_pp,abs_calibration_error_pp,ordinal_calibration_gap,well_calibrated_bin,overconfident_bin,underconfident_bin
S0068,G3,B,24,9,Moderately confident (41-60%),Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,72.72727272727273,4,-22.727272727272734,22.727272727272734,-1.0,0.0,0.0,1.0
S0069,G3,B,30,3,Moderately confident (41-60%),Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,90.9090909090909,5,-40.90909090909091,40.90909090909091,-2.0,0.0,0.0,1.0
S0070,G3,B,30,3,Slightly confident (21-40%),Phase 1,2.0,1.0,2.0,1.0,2.0,30.0,33,90.9090909090909,5,-60.90909090909091,60.90909090909091,-3.0,0.0,0.0,1.0
S0071,G3,B,30,3,Slightly confident (21-40%),Phase 1,2.0,2.0,2.0,2.0,2.0,30.0,33,90.9090909090909,5,-60.90909090909091,60.90909090909091,-3.0,0.0,0.0,1.0
S0072,G3,B,15,18,Moderately confident (41-60%),Phase 1,4.0,2.0,4.0,2.0,3.0,50.0,33,45.45454545454545,3,4.545454545454547,4.545454545454547,0.0,1.0,0.0,0.0
S0011,G1,A,11,22,Moderately confident (41-60%),Phase 2,5.0,3.0,5.0,3.0,3.0,50.0,33,33.333333333333336,2,16.666666666666664,16.666666666666664,1.0,0.0,1.0,0.0
S0023,G1,B,18,15,Very confident (61- 80%),Phase 2,4.0,2.0,4.0,2.0,4.0,70.0,33,54.54545454545455,3,15.454545454545453,15.454545454545453,1.0,0.0,1.0,0.0
S0022,G1,B,12,21,Very confident (61- 80%),Phase 2,4.0,4.0,4.0,4.0,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0012,G1,A,16,17,Moderately confident (41-60%),Phase 2,,,,,3.0,50.0,33,48.484848484848484,3,1.5151515151515156,1.5151515151515156,0.0,1.0,0.0,0.0
S0024,G1,B,14,19,Very confident (61-80%),Phase 2,4.0,3.0,4.0,3.0,4.0,70.0,33,42.42424242424242,3,27.575757575757578,27.575757575757578,1.0,0.0,1.0,0.0
S0021,G1,B,12,21,Very confident (61-80%),Phase 2,,,,,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0017,G1,B,12,21,Extremely confident (81-100%),Phase 2,2.0,2.0,2.0,2.0,5.0,90.0,33,36.36363636363637,2,53.63636363636363,53.63636363636363,3.0,0.0,1.0,0.0
S0018,G1,B,15,18,Extremely confident (81-100%),Phase 2,2.0,2.0,2.0,2.0,5.0,90.0,33,45.45454545454545,3,44.54545454545455,44.54545454545455,2.0,0.0,1.0,0.0
S0013,G1,B,17,16,Moderately confident (41-60%),Phase 2,3.0,3.0,3.0,3.0,3.0,50.0,33,51.515151515151516,3,-1.5151515151515156,1.5151515151515156,0.0,1.0,0.0,0.0
S0019,G1,B,19,14,Very confident (61- 80%),Phase 2,4.0,3.0,4.0,3.0,4.0,70.0,33,57.57575757575758,3,12.424242424242422,12.424242424242422,1.0,0.0,1.0,0.0
S0020,G1,B,12,21,Very confident (61- 80%),Phase 2,4.0,5.0,4.0,5.0,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0014,G1,B,13,20,Moderately confident (41-60%),Phase 2,4.0,4.0,4.0,4.0,3.0,50.0,33,39.39393939393939,2,10.606060606060609,10.606060606060609,1.0,0.0,1.0,0.0
S0016,G1,B,17,16,Slightly confident (21-40%),Phase 2,4.0,5.0,4.0,5.0,2.0,30.0,33,51.515151515151516,3,-21.515151515151516,21.515151515151516,-1.0,0.0,0.0,1.0
S0015,G1,B,15,18,Very confident (61- 80%),Phase 2,4.0,4.0,4.0,4.0,4.0,70.0,33,45.45454545454545,3,24.545454545454547,24.545454545454547,1.0,0.0,1.0,0.0
S0006,G1,A,12,21,Extremely confident (81-100%),Phase 2,5.0,4.0,5.0,4.0,5.0,90.0,33,36.36363636363637,2,53.63636363636363,53.63636363636363,3.0,0.0,1.0,0.0
S0010,G1,A,10,23,Extremely confident (81-100%),Phase 2,3.0,4.0,3.0,4.0,5.0,90.0,33,30.303030303030305,2,59.696969696969695,59.696969696969695,3.0,0.0,1.0,0.0
S0005,G1,A,13,20,Moderately confident (41-60%),Phase 2,3.0,2.0,3.0,2.0,3.0,50.0,33,39.39393939393939,2,10.606060606060609,10.606060606060609,1.0,0.0,1.0,0.0
S0004,G1,A,7,26,Not confident at all (0-20%),Phase 2,1.0,3.0,1.0,3.0,1.0,10.0,33,21.21212121212121,2,-11.212121212121211,11.212121212121211,-1.0,0.0,0.0,1.0
S0008,G1,A,13,20,Moderately confident (41-60%),Phase 2,4.0,1.0,4.0,1.0,3.0,50.0,33,39.39393939393939,2,10.606060606060609,10.606060606060609,1.0,0.0,1.0,0.0
S0002,G1,A,12,21,Very confident (61-80%),Phase 2,,,,,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0007,G1,A,13,20,Extremely confident (81-100%),Phase 2,4.0,4.0,4.0,4.0,5.0,90.0,33,39.39393939393939,2,50.60606060606061,50.60606060606061,3.0,0.0,1.0,0.0
S0001,G1,A,10,23,Moderately confident (41-60%),Phase 2,3.0,3.0,3.0,3.0,3.0,50.0,33,30.303030303030305,2,19.696969696969695,19.696969696969695,1.0,0.0,1.0,0.0
S0003,G1,A,10,23,Very confident (61- 80%),Phase 2,5.0,2.0,5.0,2.0,4.0,70.0,33,30.303030303030305,2,39.696969696969695,39.696969696969695,2.0,0.0,1.0,0.0
S0009,G1,A,12,21,Slightly confident (21-40%),Phase 2,,,,,2.0,30.0,33,36.36363636363637,2,-6.363636363636367,6.363636363636367,0.0,1.0,0.0,0.0
S0038,G2,A,10,23,Very confident (61-80%),Phase 2,5.0,4.0,5.0,4.0,4.0,70.0,33,30.303030303030305,2,39.696969696969695,39.696969696969695,2.0,0.0,1.0,0.0
S0029,G2,B,26,7,Moderately confident (41-60%),Phase 2,5.0,2.0,5.0,2.0,3.0,50.0,33,78.78787878787878,4,-28.787878787878782,28.787878787878782,-1.0,0.0,0.0,1.0
S0026,G2,B,33,0,Very confident (61- 80%),Phase 2,3.0,3.0,3.0,3.0,4.0,70.0,33,100.0,5,-30.0,30.0,-1.0,0.0,0.0,1.0
S0030,G2,B,33,0,Moderately confident (41-60%),Phase 2,3.0,3.0,3.0,3.0,3.0,50.0,33,100.0,5,-50.0,50.0,-2.0,0.0,0.0,1.0
S0032,G2,B,33,0,Slightly confident (21-40%),Phase 2,,,,,2.0,30.0,33,100.0,5,-70.0,70.0,-3.0,0.0,0.0,1.0
S0031,G2,B,33,0,Slightly confident (21-40%),Phase 2,4.0,2.0,4.0,2.0,2.0,30.0,33,100.0,5,-70.0,70.0,-3.0,0.0,0.0,1.0
S0025,G2,B,33,0,Moderately confident (41-60%),Phase 2,4.0,3.0,4.0,3.0,3.0,50.0,33,100.0,5,-50.0,50.0,-2.0,0.0,0.0,1.0
